review_text,category
Much better then mid range android phone of any brand. Good Betty life. Good ram management. Very very smooth OS. No lag in any application and game.,positive
Owsm,neutral
So far I am loving this phone♥️♥️,positive
Only complaint that face reader is not as great as fingerprint reader in older version of iphone.,neutral
The battery is not a 4000 mah  like many other phones these but still has a lot of life in it . This is my second IPHONE and the performance just outclasses any android phone,positive
"The speaker has strange sound, I shall request for the full refund,have lost my faith from Amazon.Please connect urgently.",negative
Not a bad phone,neutral
I need the bill of the phone,neutral
Great product.. Happy with the delivery provided by amazon.,positive
Good,neutral
Voice problem,negative
Nice experience,neutral
Amazing 👌,positive
Fingerprint compulsory needed,neutral
👍🏻,positive
The best camera and feel of security...,positive
Voice not clear in calls,negative
This has only face recognition and no fingerprint sensor .,negative
😔,negative
Best for gaming .,positive
Nice iPhone,neutral
Its very nice,positive
"Got the phone for Rs 53,250 in the prime day sale. Used it for 5 days and it’s the usual apple experience. Good picture, touch and camera quality is excellent considering it has a single camera. It’s a bargain at this price bracket.",positive
Good product,neutral
Heating so fast in use after 15 minute of use,negative
Not up to the mark,negative
Good,neutral
Nothing to complain,neutral
Absolute Beast of a phone,positive
Phone is very good but packaging was not warped with bubble wrapper,neutral
It was a great deal,positive
Foor very poor,negative
Must buy from amazon.Sealed packed perfect iphone delivered.,positive
"After Apple reduced its price, iPhone XR did become affordable when considering its features. What I received was how it was described on Amazon.",positive
iPhones are class apart.!,positive
Not so worthy what you pay for this,negative
Good,neutral
Altogether I liked. But an easy way to type other languages than English is essential,neutral
Excellent performance-Awesome Camera-Picture Quality the best in iPhone-Face recognition works perfectly fine.,positive
Makes screeechy noise at full noise otherwise the phone is good,neutral
I have purchases this iPhone XR on New Year 2020 eve....and i can say that this is just awesome phone with great display and more important very gd battery performance....i just love this iPhone and want to recommend all those who are just thinking to buy new phone then this is for you.....,positive
Simply the Superb,positive
Best value for money among the apple line up,positive
"Awesome phone, good battery life, awesome camera... 4k recording and i have started vlogging channel in YouTube with xr only,,, shooting, editing and uploading all in one.. awesome performance.",positive
Apple iPhone is iPhone.. Amazing feature,positive
iPhone is iPhone,neutral
Great phone with excellent battery life.,positive
Excellent phone,positive
Very good experience and worth buying,positive
good because,neutral
Got this product in the amazon flash sale and got a decent discount. Have been using the device for a few days and can certainly say that this iPhone has the best battery life till date. Phone lasted for almost 30 hours with heavy usage. The face recognition has certainly been improved from iPhone X. The only thing I dislike about the phone is the Screen Quality. You won’t find any major difference in the screen quality unless and until you stream Netflix or watch YouTube. Overall I feel this is one of the best iPhones apple has launched.,positive
Awsm,positive
Everything is good so far!,positive
After using it for 6 days properly . The phone started to hang it automatically restarts and gets stuck on apple log had to format my phone 2 time. Apple service center could not detect the problem . THEY Said it should be sent to bangalore for repair due to some motherboard issue . So i dnt want all that headache i want my phone replaced by a new sealed pack same iphone,negative
Good,neutral
"Face Recognition, Battery life & user interface is secondary. It’s an iPhone that’s it. Apple satisfies our high expectations. The Apple iPhone XR was Awesome. Really Worth it.",positive
Awesome phone just delivery is too late,positive
Nice phone😍,positive
Good,neutral
Excellent phone.,positive
I loved it. Doing Iphone filmmaking,positive
"It's a good phone, little heavy but dependable..",neutral
Touch screen isn’t sensitive,negative
Best in all.,positive
Good build quality,neutral
"need i say anything about this phone! it's a bomb. i bought the product red 64GB varient and let me tell you its sexier than it appears in the pictures. camera quality is really good. the portraits are awesome even though it has a single lens. the bezzel looks a bit wide compared to XS and XS Max, but if you are upgrading from Iphone 8 Plus or lower you won't find it different. The liquid display is really nice with wide range of colors displayed really well. i got this during the independence day sale for Rs.52K and its definitely a great deal. DEFINITELY RECOMMENDED!",positive
"Serious problem with the lower mic, after spending all that money in this faulty crap just after two months you finally feel that you are the biggest C* in India who is buying an iPhone. Fragile product, connectivity issue, software issue & restrictions  all the type of minor issues have been build up causing a serious issue. Think before you waste ya hard earned money. Apple products are degrading their quality to keep their stocks and shares up.",negative
Good product,neutral
Excellent,positive
"I've been using my iPhone XR for over 10 months now. So far, everything's hunky-dory.",positive
,neutral
Good product,neutral
"Wonderful product, sells itself. iPhone is great & wonderful quality",positive
User friendly,neutral
"just go for it, buy it. Don't think so much.",positive
"Battery life is good but the problem is with the phone heating very quickly. Even redmi's who are known for getting heated quickly, get less heated as compared to iPhone Xr. I steal one star for it.",negative
Best phone ever,positive
"Finger print sensor is missing , the phone is bit heavy",negative
A great leap for me from 5s to XR. I am enjoying this smashing experience. Loving each and every bit of this marvel.,positive
very nice,neutral
iPhone XR one of the best mobile and os,positive
So far it’s good.,positive
Very good phone,positive
Amazon is amazing! Super price and delivery. Using it without issues. I extended the warranty at Apple service.,positive
it is working as iron box.It does not meet my expectations,negative
Worth every penny but a little heavy and bulky,positive
"Was using X 64gb from last 2 yrs, apart from OLED display things are pretty much the same",neutral
Battery life not good,negative
The phone works amazing well with great features.,positive
"Bought two phones on this sale. One is this awesome iPhone XR and another Samsung phone. iPhone is so awesome that I am in love with its touch, display , camera and sound quality and everything. Its very costly but I love this. Whilst others phone that I purchased was a big mistake.",positive
Awesome mobile..,positive
Good phone and better performance,positive
Nice functioning overall,neutral
Guys i wud suggest u all to not buy the phone from the site as the one I have received is nt in its best condition..it’s sensor is nt working properly n it hangs too at times n I have just received the phone just 15 days back,negative
"From iPhone 5s to Xr. Great feeling, good battery life . Quality product in budget range , finally Just WOW ...",positive
Ok,neutral
FULLFILEED NOT BOX AS THERE DESCRIBE IN PRODUCT,negative
"Everything else is quite well except battery consumption which does not lie with the promised service that is upto 25 hrs of talktime (wireless) and upto 16 hrs of video streaming (wireless), at all.",negative
Very good quality,positive
Excellent phone,positive
